TULIAAMBOSELI SAFARICAMP,TULIAAMBOSELI SAFARICAMP,Jan. 3 - Mar31 Oct 1 - Dec 19 High-Season,Apr. 1 - June 30 Low Season,July 1 - July15 Sept16 - Sept 30 Off-Peak Season,July 16 - Sept 15 Dec 20 - Jan2 Peak Season
Mountainview Superb Safari Tent Full Board,Adult Sharing,$170,$160,$195 $100,$230
Mountainview Superb Safari Tent Full Board,Child Sharing,$ 85,$ 80,,$120
Mountainview Superb Safari Tent Full Board,Single Adult,$225,$205,$260,$310
Mountainview Superb Safari Tent Full Board,3 rd BedSupplement,$125,$120,$145,$170
Mountainview Superb Safari Tent GamePackage,Adult Sharing,$325,$280,$360,$420
Mountainview Superb Safari Tent GamePackage,Child Sharing,$160,$145,$180,$210
Mountainview Superb Safari Tent GamePackage,Single Adult,$440,$375,$495,$560
Mountainview Superb Safari Tent GamePackage,3 rd BedSupplement,$245,$210,$275,$315
Mountainview Deluxe Safari Tent w/Plunge Pool Full Board,Adult Sharing,$230,$200,$265,$320
Mountainview Deluxe Safari Tent w/Plunge Pool Full Board,Child Sharing,$120,$100,$135,$160
Mountainview Deluxe Safari Tent w/Plunge Pool Full Board,Single Adult,$310,$275,$360,$435
Mountainview Deluxe Safari Tent w/Plunge Pool Full Board,3 rd BedSupplement,$170,$155,$200,$245
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Adult Sharing,$380,$320,$435,$510
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Child Sharing,$195,$160,$220,$255
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Single Adult,$520,$440,$585,$685
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,3 rd BedSupplement,$290,$245,$325,$380
