TULIAAMBOSELI,TULIAAMBOSELI,Jan. 3 - Mar31 Oct 1 - Dec 19 High-Season,Apr. 1 - June 30 Low Season,July 1 - July15 Sept16 - Sept 30 Off-Peak Season,July 16 - Sept 15 Dec 20 - Jan2 Peak Season
SAFARICAMP Mountainview Superb Safari Tent Full Board,Adult Sharing Child Sharing,$210 $105,$195 $100,$240 $120,$285 $145
,Single Adult,$280,$255,$325,$385
,3 rd BedSupplement,$155,$145,$180,$210
Mountainview Superb Safari Tent GamePackage,Adult Sharing,$405,$350,$450,$520
Mountainview Superb Safari Tent GamePackage,Child Sharing,$200,$180,$225,$260
Mountainview Superb Safari Tent GamePackage,Single Adult,$545,$465,$615,$695
Mountainview Superb Safari Tent GamePackage,3 rd BedSupplement,$305,$265,$340,$390
Mountainview Deluxe Safari Tent w/Plunge Pool Full Board,Adult Sharing,$285,$245,$330,$400
,Child Sharing,$145,$125,$165,$200
,Single Adult,$385,$340,$450,$540
,3 rd BedSupplement,$210,$190,$245,$305
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Adult Sharing,$475,$400,$540,$635
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Child Sharing,$240,$200,$270,$315
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,Single Adult,$645,$545,$730,$855
Mountainview Deluxe Safari Tent w/Plunge Pool GamePackage,3 rd BedSupplement,$360,$305,$405,$475
