EXTRAS (NON-COMMISSIONABLE),3-Seasons,Peak Season
"Honeymoon Tent Supplement, per person/night","6,250","9,375"
"Family Tent Supplement charge, per tent","15,625","21,875"
"Bush Breakfast, per person","6,250","9,375"
"Bush Dinner, per person","6,250","9,375"
"Sundowner, per person (includes select alcoholic, non-alcoholic drinks, and biting's)","6,250","9,375"
Maasai Cultural Dance (For Group),"18,750","21,875"
Massai Village Visit - Minimum 2-guests (Per Person),"3,750","6,250"
Safari Bush/Nature Walk,"4,375","6,250"
Game Drive Per Person - 2 ½ hours (min 2-pax - Max. 6-passengers),"9,375","12,500"
"Private Game Drive - Exclusive Use of Vehicle, per day (Max. 6-passengers)","43,750","50,000"
Transfer to/or From SGR - Emali (Each Way - Max. 6-passengers),"28,125","34,375"
Transfer to/or from Namanga Border (Each Way - Max. 6-passengers),"28,125","34,375"
"Valentine's Day Supplement, per person Feb. 14","4,375",N/A
"Easter Supplement, per person (April 8 - 10)","4,375",N/A
"Extra Breakfast, or Lunch (Packed, or on site)","3,125","4,375"
Extra Dinner,"3,125","4,375"
Birthday Cake,"3,125","4,375"
