CAMP/LODGE,PICK UP TIME
Angama Mara (Minimum 2 pax),5:00 am
BateleurCamp,5:30 am
KichwaTembo,5:30 am
KilimaCamp,5:15 am
Little GovernorsCamp (Minimum 2 pax),5:15 am
Mara Engai Wilderness Lodge (Minimum 4 pax),4:00 am
Mara Enkipai SafariCamp (Minimum 2 pax),5:30 am
Mara Serena Safari Lodge (Minimum 2 pax),4:45 am
Mara SiriaCamp (Minimum 2 pax),5:00 am
Mara Sun Lodge (Minimum 4 pax),4:00 am
Mara West Camp (Minimum 2 pax),5:00 am
Mpata Safari Club (Minimum 2 pax),5:00 am
TanguliaCamp (Minimum 2 pax),4.45am
Sanctuary Olonana,5:30 am
Mara Elatia (Minimum 2 pax),4.45am
Ahadi Camp,5.00am
NdovuCamp (Minimum 2 pax),4.45am
Mara Nyota (Minimum 2 pax),4.45am
Dirisha Camp (Minimum 2 pax),5.00am
Wild Eye Camp (Minimum 2 pax),4.00am
