MARARIVER CAMP (Minimum 2 pax),5.00am
MELTINGPOT (Minimum 2 pax),5.00am
HornbillCamp (Minimum 2 pax),4.45am
IL Moran Camp (Minimum 2 pax),4.30 am
Private Governors (Minimum 2 pax),4.30am
Main Governors (Minimum 2 pax),4.30 am
Kicheche Mara Camp (Minimum 2 pax),4.45 am
SentinalCamp (Minimum 2 pax),4.45am
RICHARDSCAMP (Minimum 2 pax),4.30am
ASILIAMARACAMP (Minimum 2 pax),5.00 am
OFFBEATCAMP (Minimum 2 pax),5.15am
ELEPHANTPEPPER (Minimum 2 pax),5.15 am
MARANGECHE (Minimum 4 pax),4.00am
MARAEDEN (Minimum 4 pax),4.00am
ENTIMCAMP (Minimum 4 pax),3.30am
MARACROSSING (Minimum 4 pax),4.00am
HammercopCamp (Minimum 2 pax),4.00am
HOUSEIN THE WILD (Minimum 2 pax),4.30am
SAFARICLUB (Minimum 2 pax),4.45 am
ENGERENDECAMP (Minimum 2 pax),4.45am
SARUNIMAIN CAMP (Minimum 2 pax),5.00am
SARUNI IN THE WILD (Minimum 2 pax),5.15am
MARARIVER LODGE (Minimum 2 pax),5.15am
NASERIANCAMP (Minimum 2 pax),5.15am
ENKERENDE/RAUL (Minimum 2 pax),5.00am
OLOSOKWANCAMP (Minimum 2 pax),5.00am
