Room Category.,Occupancy.,1st Season.03rd Jan to 30th June 2025.Bed & Breakfast,1st Season.03rd Jan to 30th June 2025.Half Board,1st Season.03rd Jan to 30th June 2025.Full Board,Easter Period.18th April to 21st April 2025.Bed & Breakfast,Easter Period.18th April to 21st April 2025.Half Board,Easter Period.18th April to 21st April 2025.Full Board,2nd Season.1st July to 21st Dec 2025.Bed & Breakfast,2nd Season.1st July to 21st Dec 2025.Half Board,2nd Season.1st July to 21st Dec 2025.Full Board,3rd Season.22nd Dec 2025 to 4th Jan 2026.Bed & Breakfast,3rd Season.22nd Dec 2025 to 4th Jan 2026.Half Board,3rd Season.22nd Dec 2025 to 4th Jan 2026.Full Board
,Single,17000,19500,22000,19000,21000,22000,17000,19500,22000,33000,36000,"38,500"
Standard room,Double,19500,22000,24000,23000,25500,27500,19500,22000,24000,42000,46000,"49,500"
Standard sea facing,Single,19500,22000,24000,20000,22000,25000,19500,22000,24000,35000,38500,"47,000"
,Double,22000,25000,27000,25500,27500,30000,22000,25000,27000,45000,49500,"53,000"
Room,Single,22000,24500,27000,23000,25500,27500,22000,24500,27000,44500,48500,"52,000"
Deluxe,Double,24500,27000,29000,27500,30000,32000,24500,27000,29000,48500,52000,"54,500"
,Single,40000,42000,44000,45000,47000,49500,40000,42000,44000,69000,72500,"76,000"
Junior Suite,Double,48500,51000,53500,49500,51700,54000,48500,51000,53500,77000,81500,"86,500"
Penthouse,Dbl/Sgl,73000,79000,85000,71500,77000,82500,73000,79000,85000,99000,115500,"121,000"
Presidential Suite,Dbl/Sgl,85000,91000,97000,82500,88000,93500,85000,91000,97000,121000,143000,"165,000"
Child Sharing (6 -11yrs),,4400,5500,6600,5500,6600,7700,4400,5500,6600,7700,9900,"12,000"
