NON RESIDENT CONTRACT..RATES - EURO,NON RESIDENT CONTRACT..RATES - EURO,allotment.no peak.dbl sgl,allotment.peak.dbl sgl,meal.plan,extra persons.beds.,extra persons.min.pax,extra persons.max head.,child.max,Inter.con.n,01/11/24.22/12/24,SEASON 2024/25.23/12/24 03/01/25.,SEASON 2024/25.04/01/25 31/03/25.,SEASON 2024/25.01/04/25 15/07/25.,SEASON 2024/25.16/07/25.31/08/25,SEASON 2024/25.01/09/25.22/12/25
Leopard Beach Resort,Leopard Beach Resort,,,,,,,,,Half Board,Rates per,person per,night,,
Superior Balcony,Gardenview,free sale*,RQ,HB,yes,2,3,+1,yes,50 €,148 €,77 €,47 €,77 €,55 €
Deluxe Terrace,Gardenview,free sale*,RQ,HB,yes,2,3,+1,yes,55 €,188 €,82 €,52 €,82 €,60 €
"Cottages, Suites & Seaview Villas","Cottages, Suites & Seaview Villas",,,,,,,,,Half Board,Rates per,person per,night,,
Chui Cottage,Seaview,free sale*,RQ,HB,no,2,2,0,no,74 €,238 €,101 €,71 €,101 €,79 €
Honeymoon Suite,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,120 €,336 €,154 €,98 €,154 €,132 €
Executive Suite,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,150 €,380 €,187 €,136 €,187 €,165 €
Seaview Villa,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,172 €,413 €,212 €,157 €,212 €,189 €
The Residence,The Residence,,,,,,,,Half,Board,Rates per,person per,night,,
Forest Villa,2 bedrooms,free sale* max. 4,RQ,HB,no,3,4,surcharge 2,no,110 € +83 €,253 € +190 €,121 € +91 €,103 € +77 €,143 € +107 €,121 € +91 €
,3 bedrooms,max. 6 free sale*,RQ,HB,no,5,6 3rd+4th pax 5rd+6th pax,2 surcharge,no,110 € +83 €,253 € +190 €,121 € +91 €,103 € +77 €,143 € +107 €,121 € +91 €
Pool Villa,2 bedrooms,free sale* max. 4,RQ,HB,no,3,4 3rd+4th pax,surcharge 2,no,125 € +94 €,270 € +202 €,138 € +103 €,117 € +88 €,160 € +120 €,138 € +103 €
,3 bedrooms,RQ max. 6,RQ,HB,,5 no,6 5rd+6th pax,2 surcharge,no,125 € +94 €,270 € +202 €,138 € +103 €,117 € +88 €,160 € +120 €,138 € +103 €
Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),room types,Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Release Periods for all Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),1 d 3 d,5 d* 28 d,1 d 14 d,1 d 3 d,1 d 3 d,1 d 3 d
Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,Food Supplements,
Fullboard,,per adult,,,,,,,,+10 €,+12 €,+12 €,+12 €,+12 €,+12 €
All-Inclusive,,per adult,,,,,,,,+29 €,+31 €,+31 €,+31 €,+31 €,+31 €
"Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas","Supplements > Superior & Deluxe & Cottages, Suites & Seaview Villas",
Double = Single occupancy,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,+30%,+50%,+50%,+0%,+30%,+30%
