0,1
Groups Discounts,Groups Discounts
Groups from 12 persons and more,10% applicable on all contract conditions - except 23.12.-03.01.
Applicable only on pre-confirmed group allotments. Please contact reservations@leopardbeachresort.com,Applicable only on pre-confirmed group allotments. Please contact reservations@leopardbeachresort.com
Check-In / Check-Out,latest Check-Out: 10h00 earliest Check-In: 15h00
Day Rooms upon arrival from 06h00 earliest,Pre-Booking required by tour operator upon departure until 17h00 latest >> 50% of the contracted rates will be charged
Cancellation Policy,From 07 to 03 Days: 25% From 03 to 01 Days: 50% No Show: 90% Percentages charges on services booked
Photo database and hotel information,https://www.dropbox.com/sh/0n42737l0dch1m5/AABijmMnLkDo7-jo0Br-auO7a?dl=0
Invoicing and Payments,Invoicing and Payments
Invoicing Payment Payment,shall be made within 7 days after receipt of the email invoice accounts@leopardbeachresort.com Aegis Kenya LTD T/A Leopard Beach Resort & Spa invoices will be sent to the tour operator after the customers' arrival by email
advise required to,
Account name,
Bank address,"Diamond Trust Bank Kenya Limited , Beneficiary: Aegis Kenya Limited"
"WITH EFFECT FROM 01/01/2024 Remit to: Standard Chartered Bank Frankfurt, SWIFT: SCBLDEFXXXX NEW BANK DETAILS! SWIFT CODE: DTKEKENA Euro Account: 0035838005","WITH EFFECT FROM 01/01/2024 Remit to: Standard Chartered Bank Frankfurt, SWIFT: SCBLDEFXXXX NEW BANK DETAILS! SWIFT CODE: DTKEKENA Euro Account: 0035838005"
Roll Over Agreement,Roll Over Agreement
