NON RESIDENT CONTRACT.RATES - USD,NON RESIDENT CONTRACT.RATES - USD,allotment.dbl sgl no peak,allotment.dbl peak,sgl meal plan,extra.beds,persons.min pax,persons.max head,persons.child max,Inter.con n,SEASON 2024/25.23/12/24 03/01/25,SEASON 2024/25.04/01/25 31/03/25,SEASON 2024/25.01/04/25 15/07/25,SEASON 2024/25.16/07/25 31/08/25,SEASON 2024/25.01/09/25 22/12/25
Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Leopard Beach Resorts & Spa,Half,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night
Superior Balcony,Gardenview,free sale*,RQ,HB,yes,2,3,+1,yes,$182,$92,$57,$92,$66
Deluxe Terrace,Gardenview,free sale*,RQ,HB,yes,2,3,+1,yes,$232,$102,$67,$102,$76
Chui Cottage,Seafront/view,free sale*,RQ,HB,no,2,2,0,no,$297,$127,$92,$127,$91
Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Leopard Beach Suite & Villas,Half,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night
Honeymoon Suite,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,$403,$165,$118,$185,$138
Executive Suite,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,$455,$198,$164,$224,$188
Seaview Villa,Seaview,RQ RQ,RQ,HB,no,2,2,0,no,$495,$224,$189,$254,$216
The Residence,The Residence,The Residence,The Residence,The Residence,The Residence,The Residence,The Residence,The Residence,Half,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night,Board Rates per person per night
Forest Villa,2 bedrooms,free sale*,RQ,HB,no,3,4,2,no,$304,$172,$124,$172,$145
,,max. 4 free sale*,,,no,3rd+4th,pax,surcharge,,$228,$129,$92,$129,$109
,3 bedrooms,max. 6,RQ,HB,,5,6 5rd+6th pax,2,no,$304 $228,$172 $129,$124 $92,$172 $129,$145 $109
Pool Villa,2 bedrooms,max. 4 free sale*,RQ,HB,no,3,4 3rd+4th pax,2 surcharge,no surcharge,$323 $243,$191 $144,$140 $106,$191 $144,$165 $124
Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),Miniumum Stay in days (* does not apply for overlapping stays from/to lower season),,$243,$144 1 d,$106 1 d,$144 1 d,$124 1 d
Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,Release Periods for all room types,5 28,d* d,14 d,3 d,3 d,3 d
Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,Surcharges and Reductions,,,,,,
Double = Single occupancy,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,for all room types except The Residence,,+50%,+50%,+0%,+30%,+30%
Fullboard,per adult,per adult,per adult,per adult,per adult,per adult,per adult,per adult,+14 $,,+14 $,+14 $,+14 $,+14 $
All-Inclusive,per adult,per adult,per adult,per adult,per adult,per adult,per adult,per adult,+38 $,,+38 $,+38 $,+38 $,+38 $
3rd adult (Superior+Deluxe) Long Stay Offers,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,from 14 years onwards based on HB. FB+AI surcharges apply,-30%,,-30%,-30%,-30%,-30%
Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE,Children Policy SUPERIOR & DELUXE
2 adults & 1 infant,"00 - 1,9 years",,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,-100%,,-100%,-100%,-100%,-100%
2 adults & 1 child,"02 - 13,9",years,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,-100%,,-100%,-100%,-100%,-100%
2 children in their own room,"02 - 13,9",years,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,-25%,-25%,,-25%,-25%,-25%
1 adult & max. 2 children,02,"- 13,9 years",on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,-50%,,-50%,-50%,-50%,-50%
"Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges","Children Policy THE RESIDENCE discounts are based on the full per pax rate, and as well are valid for FB and AI charges"
2 adults & 1 infant,00,"- 1,9 years",on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,on all meal plans,-100%,,-100%,-100%,-100%,-100%
2 bedroom villas (2 min adults),2 bedroom villas (2 min adults),2 bedroom villas (2 min adults),"all children 02-13,9 years","all children 02-13,9 years","all children 02-13,9 years","all children 02-13,9 years","all children 02-13,9 years","all children 02-13,9 years",,,,,,-100%
3 bedroom villas (4 min adults),3 bedroom villas (4 min adults),3 bedroom villas (4 min adults),in the existing bedding of the villas,in the existing bedding of the villas,in the existing bedding of the villas,in the existing bedding of the villas,in the existing bedding of the villas,in the existing bedding of the villas,,-100%,-100%,-100%,-100%,
