Comfort Hotel Room.7th Jan - 30th Sep 2025,
Single occupancy,"7,250"
Double occupancy,"10,250"
Children 5 - 11 Years,"3,250"
1 Bedroom Apartment | Studios,
7th Jan - 30th Sep 2025,
,Rate per night - Bed &Breakfast
Single occupancy,"7,250"
Double occupancy,"10,250"
Children 5 - 11 Years,"3,250"
2 Bedroom Apartment,
7th Jan - 30th Sep 2025,
,Rate per night - Bed &Breakfast
,136
Double occupancy,
Each additional person,39
Children 5 - 11 Years,30
2 Bedroom Apartment de luxe,
7th Jan - 30th Sep 2025,
Rate,per night - Bed &Breakfast
Double occupancy Each additional person,"16,950 4,250"
Children 5 - 11 Years,"3,250"
4 - Bedroom - Villa,
,7th Jan - 30th Sep 2025
,per night - Room only
,month - only
,"391,500"
Up to 8 Adults,
,per
,Rate Room
,"45,000"
,Rate
,Up to 8 Adults
