2 Bedroom Apartment de luxe.Rates USD,2 Bedroom Apartment de luxe.7-Jan-25 22-Dec-25
Double occupancy,154
Each additional person,39
Children 5 - 11 Years,30
Rate for 1 week - Bed &Breakast,Rate for 1 week - Bed &Breakast
Double occupancy,"1,025"
Each additional person,257
Children 5 - 11 Years,197
Rate for 2 weeks - Bed &Breakast,Rate for 2 weeks - Bed &Breakast
Double occupancy,"1,941"
Each additional person,487
Children 5 - 11 Years,372
Rate for 3 weeks - Bed &Breakast,Rate for 3 weeks - Bed &Breakast
Double occupancy,"2,750"
Each additional person,690
Children 5 - 11 Years,527
Rate per month - Room only,Rate per month - Room only
Double occupancy,"2,400"
Each additional person,548
Children 5 - 11 Years,445
4 - Bedroom - Villa,4 - Bedroom - Villa
,7-Jan-25
,22-Dec-25
Rate per night - room only,Rate per night - room only
Up to 8 Adults,382
Rate per month - room only,Rate per month - room only
Up to 8 Adults,"3,559"
Restaurant,Restaurant
Breakfast (If booked room only),$15
Half Board,$20
Full Board,$36
Children´s policy (sharing with adults),Children´s policy (sharing with adults)
