19 Dec 2025 - 04 Jan 2026,Basis,½Twin,Single,3rd / 4th,Child
GARDEN & FAMILY,AI,17000,25500,12750,8500
BEACHFRONT,AI,19200,27700,14400,9600
05 Jan 2026 - 06 April 2026,Basis,½Twin,Single,3rd / 4th,Child
GARDEN & FAMILY,AI,10800,16200,8100,5400
BEACHFRONT,AI,13000,18400,9750,6500
07 April 2026 - 30 June 2026,Basis,½Twin,Single,3rd / 4th,Child
GARDEN & FAMILY,AI,9000,15725,6750,4500
BEACHFRONT,AI,11200,17925,8400,5600
01 July 2026 - 17 Dec. 2026,Basis,½Twin,Single,3rd / 4th,Child
GARDEN & FAMILY,AI,10800,16200,8100,5400
BEACHFRONT,AI,13000,18400,9750,6500
