RESIDENT RACKRATESKES,RESIDENT RACKRATESKES,Spring Season 15th Mar to 15th Jun,Regular Season,Festive Season 20 th Dec to 10 th Jan
Deluxe,Per Person Sharing,"22,000","27,500","38,500"
Deluxe,Single Occupancy,"30,800","38,500","53,900"
Half Board,3rd bed Adult,"15,400","19,250","26,950"
Deluxe,3rd bed Child,"6,500","6,500","13,000"
Tower Suite Half Board,Per Person Sharing,"27,500","33,000","44,000"
Tower Suite Half Board,Single Occupancy,"38,500","46,200",
Tower Suite Half Board,3rd bed Adult,"19,250","23,100","30,800"
Tower Suite Half Board,3rd bed Child,"6,500","6,500","13,000"
Ocean View Banda Half Board,Per Person Sharing,"29,700","38,500","52,250"
Ocean View Banda Half Board,Single Occupancy,"41,580","53,900","73,150"
Ocean View Banda Half Board,3rd bed Adult,"20,790","26,950","36,575"
Ocean View Banda Half Board,3rd bed Child,"6,500","6,500","13,000"
Overwater Suite All Inclusive,Per Person Sharing,"63,250","66,000","82,500"
Overwater Suite All Inclusive,Single Occupancy,"88,550","92,400","115,500"
Overwater Suite All Inclusive,3rd bed Adult,"44,275","46,200","57,750"
Overwater Suite All Inclusive,3rd bed Child,"6,500","6,500","13,000"
Suite on the Rocks,Per Person Sharing,"96,250","99,000","115,500"
All Inclusive,Single Occupancy,"134,750","138,600","161,700"
