1 March to 30 April 2025.ALLINCLUSIVE,1 March to 30 April 2025.DOUBLE KSH.,1 March to 30 April 2025.SINGLE KSH.
Superior Room,"42,000","31,500"
Superior Deluxe Room,"46,000","34,500"
Side Seaview Deluxe Room,"48,000","36,000"
Ocean Front Room,"53,000","39,750"
Ocean Front Deluxe Room,"59,000","44,250"
1 st May to 30 th June 2025,1 st May to 30 th June 2025,1 st May to 30 th June 2025
ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"34,000","25,500"
Superior Deluxe Room,"38,000","28,500"
Side Seaview Deluxe Room,"40,000","30,000"
Ocean Front Room,"45,000","33,750"
Ocean Front Deluxe Room,"51,000","38,250"
1 st July to 31 st August 2025,1 st July to 31 st August 2025,1 st July to 31 st August 2025
ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"42,000","31,500"
Superior Deluxe Room,"46,000","34,500"
Side Seaview Deluxe Room,"48,000","36,000"
Ocean Front Room,"53,000","39,750"
Ocean Front Deluxe Room,"59,000","44,250"
st September to 30 th November 2025,st September to 30 th November 2025,st September to 30 th November 2025
ALLINCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"37,000","27,750"
Superior Deluxe Room,"41,000","30,750"
Side Seaview Deluxe Room,"43,000","32,250"
Ocean Front Room,"48,000","36,000"
Ocean Front Deluxe Room,"54,000","40,500"
1st December to 22nd December 2025,1st December to 22nd December 2025,1st December to 22nd December 2025
ALL INCLUSIVE,DOUBLE KSH.,SINGLE KSH.
Superior Room,"48,500","36,375"
Superior Deluxe Room,"52,500","39,375"
Side Seaview Deluxe Room,"54,500","40,875"
Ocean Front Room,"59,500","44,625"
Ocean Front Deluxe Room,"67,500","50,625"
