SEASON Published rate per person based on Half board (USD) ROOMCATEGORY,Nov. 01.11.24 -Dec.19.12.25 Sep.01.09.25-Oct.31.10.25 Apr 01.04.25- June30.06.25 MID SEASON,Dec. 20.12.24 - Jan. 02.01.25 PEAK SEASON,Jan. 03.01.25-Mar 31.03.25 July 01.07.25-Aug 31.08.25 HIGH SEASON
Garden view Single,196,226,213
Superior Garden view,239,336,278
Deluxe Ocean view room,269,374,307
Garden Suite garden view,316,423,355
Jacuzzi suite ocean view,365,470,403
Ocean suite ocean view,365,470,403
Single room supplement in%,30%,30%,30%
Children Rates,Minimum age 12 years of age Adult Rates applicable,Minimum age 12 years of age Adult Rates applicable,
Supplement to Full Board,30,30,30
Third bed adult in %of the Applicable per person rate,60%,60%,60%
Minimum Stay,,07 Nights,
EBD 15% for bookings done 90 days prior to arrival (not combinable with other specials),x,n.a,"n,a"
Private Airport transfer from Ukunda maxi. 04 Guests,30,30,30
Private Airport transfer from Mombasa maxi. 04 Guests,80,80,80
Private Airport transfers for Stays of 7 Nights and above,Free,Free,Free
Cancellation policy,"Less than 30 days to 25 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days /nights per person; 13 to 04 days prior to arrival 80%: 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights & 35% on additional nights","Less than 30 days to 25 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days /nights per person; 13 to 04 days prior to arrival 80%: 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights & 35% on additional nights","Less than 30 days to 25 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days /nights per person; 13 to 04 days prior to arrival 80%: 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights & 35% on additional nights"
Payment condition,cancelled Strictly 30 days after invoice.,cancelled Strictly 30 days after invoice.,cancelled Strictly 30 days after invoice.
