RESIDENT,BB,HB,FB
GARDEN ROOMS,"SINGLE-KSH.15,000 DOUBLE-KSH.17,000","SINGLE-KSH.16,500 DOUBLE-KSH.20,000","SINGLE-KSH.18,000 DOUBLE-KSH.20,000"
JACCUZI ROOMS,"SINGLE-KSH.17,000 DOUBLE-KSH.20,000","SINGLE-KSH.18,500 DOUBLE-KSH.23,000","SINGLE-KSH.20,000 DOUBLE-KSH.26,000"
BATHTUB ROOMS,"SINGLE-KSH.16,000 DOUBLE-KSH.19,000","SINGLE-KSH.17500 DOUBLE-KSH.22,000","SINGLE-KSH.19,000 DOUBLE-KSH.25,000"
SLEEPING WARRIORS,"SINGLE-KSH.17,000 DOUBLE-KSH.20,000","SINGLE-KSH.18,500 DOUBLE-KSH.23,000","SINGLE-KSH.20,000 DOUBLE-KSH.26,000"
NON RESIDENT,USD,USD,USD
DELUXE SINGLE,115,127,138
DELUXE DOUBLE,131,154,177
BATHTUB SINGLE,123,131,146
BATHTUB DOUBLE,146,169,192
JACCUZI SINGLE,131,138,154
JACCUZI DOUBLE,154,176,200
"LOWSEASON - JAN,APRIL -JUNE, NOVEMBER 2025","LOWSEASON - JAN,APRIL -JUNE, NOVEMBER 2025","LOWSEASON - JAN,APRIL -JUNE, NOVEMBER 2025","LOWSEASON - JAN,APRIL -JUNE, NOVEMBER 2025"
RESIDENT,BB,HB,FB
GARDEN ROOMS,"SINGLE-KSH.11,500 DOUBLE-KSH.12,000","SINGLE-KSH.13,000 DOUBLE-KSH.15,000","SINGLE-KSH.15,000 DOUBLE-KSH.18,000"
JACCUZI ROOMS,"SINGLE-KSH,12,600 DOUBLE-KSH.16,000","SINGLE-KSH.14,000 DOUBLE-KSH.19,000","SINGLE-KSH.16,000 DOUBLE-KSH.22,OOO"
BATHTUB ROOMS,"SINGLE-KSH.12,000 DOUBLE-KSH.15,000","SINGLE-KSH.13,500 DOUBLE-KSH.18,000","SINGLE-KSH.15,000 DOUBLE-KSH.21,000"
