DELUXE SUITES (MAX 2 ADULTS),DELUXE SUITES (MAX 2 ADULTS),Off-Peak Season All year except peak seasons,"Peak Season WRC Rally, Easter Christmas, Public Holidays"
Single Occupancy:,Bed & Breakfast,"KSHS. 15,400","KSHS. 18,700"
Single Occupancy:,Half Board,"KSHS. 18,700","KSHS. 22,000"
Single Occupancy:,Full Board,"KSHS. 22,000","KSHS. 25,300"
Double Occupancy:,Bed & Breakfast,"KSHS. 18,700","KSHS. 24,200"
Double Occupancy:,Half Board,"KSHS. 22,000","KSHS. 27,500"
Double Occupancy:,Full Board,"KSHS. 27,500","KSHS. 33,000"
Child sharing (4 - 12 yrs),Bed & Breakfast,"KSHS. 4,700","KSHS. 6,050"
Child sharing (4 - 12 yrs),Half Board,"KSHS. 5,500","KSHS. 6,900"
Child sharing (4 - 12 yrs),Full Board,"KSHS. 6,900","KSHS. 8,250"
Child in own (Minimum of 2 children,Bed & Breakfast,"KSHS. 6,950","KSHS. 9,100"
Child in own (Minimum of 2 children,Half Board,"KSHS. 8,250","KSHS. 10,250"
Child in own (Minimum of 2 children,Full Board,"KSHS. 10,250","KSHS. 12,400"
