EXECUTIVE SUITES (MAX 3 ADULTS),EXECUTIVE SUITES (MAX 3 ADULTS),Off-Peak Season All year except peak seasons,"Peak Season WRC Rally, Easter Christmas, Public Holidays"
Single Occupancy:,Bed & Breakfast,"KSHS. 18,700","KSHS. 22,000"
Single Occupancy:,Half Board,"KSHS. 22,000","KSHS. 25,300"
Single Occupancy:,Full Board,"KSHS. 25,300","KSHS. 28,600"
Double Occupancy:,Bed & Breakfast,"KSHS. 23,100","KSHS. 28,600"
Double Occupancy:,Half Board,"KSHS. 27,500","KSHS. 33,000"
Double Occupancy:,Full Board,"KSHS. 30,800","KSHS. 36,300"
Triple Occupancy:,Bed & Breakfast,"KSHS. 29,700","KSHS. 37,950"
Triple Occupancy:,Half Board,"KSHS. 34,100","KSHS. 42,350"
Triple Occupancy:,Full Board,"KSHS. 39,600","KSHS. 47,850"
Child sharing (4 - 12 yrs),Bed & Breakfast,"KSHS. 5,800","KSHS. 7,150"
Child sharing (4 - 12 yrs),Half Board,"KSHS. 6,900","KSHS. 8,250"
Child sharing (4 - 12 yrs),Full Board,"KSHS. 7,700","KSHS. 9,100"
Child in own (Minimum of 2 children,Bed & Breakfast,"KSHS. 8,600","KSHS. 10,750"
Child in own (Minimum of 2 children,Half Board,"KSHS. 10,250","KSHS. 12,400"
Child in own (Minimum of 2 children,Full Board,"KSHS. 11,550","KSHS. 13,550"
