FAMILY SUITES (MAX 4 ADULTS),FAMILY SUITES (MAX 4 ADULTS),Off-Peak Season All year except peak seasons,"Peak Season WRC Rally, Easter Christmas, Public Holidays"
Double Occupancy:,Bed & Breakfast,"KSHS. 26,400","KSHS. 31,900"
Double Occupancy:,Half Board,"KSHS. 29,700","KSHS. 35,200"
Double Occupancy:,Full Board,"KSHS. 34,100","KSHS. 39,600"
Triple Occupancy:,Bed & Breakfast,"KSHS. 33,000","KSHS. 42,250"
Triple Occupancy:,Half Board,"KSHS. 37,400","KSHS. 45,650"
Triple Occupancy:,Full Board,"KSHS. 42,900","KSHS. 51,150"
Quadruple,Bed & Breakfast,"KSHS. 39,600","KSHS. 50,600"
Quadruple,Half Board,"KSHS. 50,600","KSHS. 61,600"
Quadruple,Full Board,"KSHS. 60,500","KSHS. 71,500"
Child sharing (4 - 12 yrs),Bed & Breakfast,"KSHS. 6,600","KSHS. 8,000"
Child sharing (4 - 12 yrs),Half Board,"KSHS. 7,450","KSHS. 8,800"
Child sharing (4 - 12 yrs),Full Board,"KSHS. 8,550","KSHS. 9,900"
Child in own (Minimum of 2 children,Bed & Breakfast,"KSHS. 9,900","KSHS. 11,900"
Child in own (Minimum of 2 children,Half Board,"KSHS. 11,100","KSHS. 13,200"
Child in own (Minimum of 2 children,Full Board,"KSHS. 12,750","KSHS. 14,850"
