DELUXE SUITES (MAX 2 ADULTS),DELUXE SUITES (MAX 2 ADULTS),Low Season (1st April - 30th June 2025),High Season (2nd January - 31st March 2025) (1st October - 23rd December 2025),Peak Season WRC Rally (1st July - 30th September 2025) (24th December - 1st January 2026)
Single Occupancy:,Bed & Breakfast,USD 155,USD 190,USD 225
Single Occupancy:,Half Board,USD 190,USD 220,USD 265
Single Occupancy:,Full Board,USD 220,USD 265,USD 320
Double Occupancy:,Bed & Breakfast,USD 190,USD 240,USD 290
Double Occupancy:,Half Board,USD 220,USD 285,USD 345
Double Occupancy:,Full Board,USD 290,USD 340,USD 415
Child sharing with parents: (4 - 12 yrs),Bed & Breakfast,USD 50,USD 60,USD 75
Child sharing with parents: (4 - 12 yrs),Half Board,USD 55,USD 70,USD 90
Child sharing with parents: (4 - 12 yrs),Full Board,USD 70,USD 85,USD 105
Child in own room: (Minimum of 2 children per,Bed & Breakfast,USD 70,USD 95,USD 110
Child in own room: (Minimum of 2 children per,Half Board,USD 80,USD 110,USD 130
Child in own room: (Minimum of 2 children per,Full Board,USD 110,USD 130,USD 155
