EXECUTIVE SUITES (MAX 3 ADULTS),EXECUTIVE SUITES (MAX 3 ADULTS),Low Season (1st April - 30th June 2024),High Season (2nd January - 31st March 2024) (1st October - 23rd December 2024),Peak Season WRC Rally (1st July - 30th September 2024) (24th December - 1st January 2025)
Single Occupancy:,Bed & Breakfast,USD 190,USD 220,USD 265
Single Occupancy:,Half Board,USD 220,USD 265,USD 320
Single Occupancy:,Full Board,USD 265,USD 300,USD 360
Double Occupancy:,Bed & Breakfast,USD 240,USD 300,USD 360
Double Occupancy:,Half Board,USD 285,USD 340,USD 415
Double Occupancy:,Full Board,USD 320,USD 375,USD 450
Triple Occupancy:,Bed & Breakfast,USD 310,USD 385,USD 460
Triple Occupancy:,Half Board,USD 350,USD 430,USD 520
Triple Occupancy:,Full Board,USD 410,USD 495,USD 595
Child in own room: (Minimum of 2 children per,Bed & Breakfast,USD 80,USD 100,USD 115
Child in own room: (Minimum of 2 children per,Half Board,USD 90,USD 110,USD 132
Child in own room: (Minimum of 2 children per,Full Board,USD 105,USD 125,USD 150
Child in own room: (Minimum of 2 children per,Bed & Breakfast,USD 90,USD 115,USD 140
Child in own room: (Minimum of 2 children per,Half Board,USD 110,USD 130,USD 155
Child in own room: (Minimum of 2 children per,Full Board,USD 120,USD 145,USD 170
