FAMILY SUITES (MAX 4 ADULTS),FAMILY SUITES (MAX 4 ADULTS),Low Season (1st April - 30th June 2024),High Season (2nd January - 31st March 2024) (1st October - 23rd December 2024),Peak Season WRC Rally (1st July - 30th September 2024) (24th December - 1st January 2025)
Double Occupancy:,Bed & Breakfast,USD 275,USD 330,USD 395
Double Occupancy:,Half Board,USD 310,USD 365,USD 440
Double Occupancy:,Full Board,USD 350,USD 410,USD 490
Triple Occupancy:,Bed & Breakfast,USD 340,USD 420,USD 505
Triple Occupancy:,Half Board,USD 385,USD 475,USD 575
Triple Occupancy:,Full Board,USD 440,USD 530,USD 640
Quadruple Occupancy:,Bed & Breakfast,USD 410,USD 520,USD 625
Quadruple Occupancy:,Half Board,USD 520,USD 640,USD 770
Quadruple Occupancy:,Full Board,USD 630,USD 740,USD 885
Child in own room: (Minimum of 2 children per,Bed & Breakfast,USD 70,USD 85,USD 100
Child in own room: (Minimum of 2 children per,Half Board,USD 80,USD 95,USD 110
Child in own room: (Minimum of 2 children per,Full Board,USD 90,USD 105,USD 120
Child in own room: (Minimum of 2 children per,Bed & Breakfast,USD 105,USD 125,USD 150
Child in own room: (Minimum of 2 children per,Half Board,USD 115,USD 140,USD 165
Child in own room: (Minimum of 2 children per,Full Board,USD 130,USD 155,USD 185
