Standard.Standard.Standard,2 Pax.2 Pax.2 Pax,HB.BB.Bed,"12,000.11,000.10,000","14,000.13,000.12,000","16,000.15,000.14,000"
Deluxe,2 Pax,FB,"15,000","18,000","19,000"
Deluxe,2 Pax,HB,"13,000","15,000","18,000"
Deluxe,2 Pax,BB,"12,000","14,000","16,000"
Deluxe,2 Pax,Bed,"11,000","13,000","15,000"
Tented,3-4 Pax,FB,"20,000","24,000","28,000"
Tented,3-4 Pax,HB,"18,000","20,000","26,000"
Tented,3-4 Pax,BB,16.000,"18,000","24,000"
Tented,3-4 Pax,Bed,"14,000","16,000","20,000"
Family Villa,5-6 Pax,FB,"30,000","36,000","42,000"
Family Villa,5-6 Pax,HB,"26,000","34,000","38,000"
Family Villa,5-6 Pax,BB,"23,000","30,000","33,000"
Family Villa,5-6 Pax,Bed,"20,000","26,000","28,000"
Triple room,3 Pax,FB,"21,000","27,000","30,000"
Triple room,3 Pax,HB,"18,000","24,000","27,000"
Triple room,3 Pax,BB,"16,000","21,000","24,000"
Triple room,3 Pax,Bed,"15,000","18,000","21,000"
