,,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
,Single,17 740 ksh,20 380 ksh,13 310 ksh,15 290 ksh
Bed & Breakfast,Sharing PP,11 830 ksh,13 710 ksh,8 880 ksh,10 290 ksh
,Child (3 - 12 Years),5 920 ksh,6 860 ksh,4 440 ksh,5 150 ksh
,Single,21 760 ksh,25 280 ksh,16 320 ksh,18 960 ksh
Half Board,Sharing PP,15 850 ksh,18 620 ksh,11 890 ksh,13 970 ksh
,Child (3 - 12 Years),7 930 ksh,9 310 ksh,5 950 ksh,6 990 ksh
,Single,24 910 ksh,28 430 ksh,18 690 ksh,21 330 ksh
Full Board,Sharing PP,18 990 ksh,21 760 ksh,14 250 ksh,16 320 ksh
,Child (3 - 12 Years),9 500 ksh,10 880 ksh,7 130 ksh,8 160 ksh
