,,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
,Single,17 990 Ksh,22 010 Ksh,13 500 Ksh,16 510 Ksh
Bed & Breakfast,Sharing PP,12 200 Ksh,13 960 Ksh,9 150 Ksh,10 470 Ksh
,Child (3 - 12 Years),6 100 Ksh,6 980 Ksh,4 580 Ksh,5 240 Ksh
,Single,22 010 Ksh,26 920 Ksh,16 510 Ksh,20 190 Ksh
Half Board,Sharing PP,16 230 Ksh,18 870 Ksh,12 180 Ksh,14 160 Ksh
,Child (3 - 12 Years),8 120 Ksh,9 440 Ksh,6 090 Ksh,7 080 Ksh
,Single,25 160 Ksh,30 060 Ksh,18 870 Ksh,22 550 Ksh
Full Board,Sharing PP,19 370 Ksh,22 010 Ksh,14 530 Ksh,16 510 Ksh
,Child (3 - 12 Years),9 690 Ksh,11 010 Ksh,7 270 Ksh,8 260 Ksh
