**CONFIDENTIAL TOUR OPERATOR /HOTEL GREEN FEE WINTER RATES**,**CONFIDENTIAL TOUR OPERATOR /HOTEL GREEN FEE WINTER RATES**
**VALID FROM \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**,**VALID FROM \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**
18 HOLES PGA COURSE,USD 55
9 HOLES PGA COURSE,USD 35
TWILIGHT,USD 40
MULTIPLAY PACKAGE 2 ROUNDS,USD 105
MULTIPLAY PACKAGE 3 ROUNDS,USD 150
MULTIPLAY PACKAGE 5 ROUNDS,USD 240
MULTIPLAY PACKAGE 7 ROUNDS,USD 320
**CONFIDENTIAL TOUR OPERATOR /HOTEL GREENFEE SUMMER RATES**,**CONFIDENTIAL TOUR OPERATOR /HOTEL GREENFEE SUMMER RATES**
**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**,**VALID FROM\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_ UNTIL \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_**
18 HOLES PGA COURSE,USD 55
9 HOLES PGA COURSE,USD 35
TWILIGHT,USD 40
MULTIPLAY PACKAGE 2 ROUNDS,USD 105
MULTIPLAY PACKAGE 3 ROUNDS,USD 150
MULTIPLAY PACKAGE 5 ROUNDS,USD 240
MULTIPLAY PACKAGE 7 ROUNDS,USD 320
