CITIZENSAND RESIDENTS,PPS - FB,Single Supplement
05 th January 2025 to 30 th June 2025,,
Rack Rate,"Kes 22,000.00","Kes 4,000.00"
Net Rate,"Kes 18,000.00","Kes 4,000.00"
1 st July 2025 to 30 th September 2025,,
Rack Rate,"Kes 29,000.00","Kes 5,000.00"
Net Rate,"Kes 26,000.00","Kes 5,000.00"
01 st October 2025 to 15 th December 2025,,
Rack Rate,"Kes 22,000.00","Kes 4,000.00"
Net Rate,"Kes 18,000.00","Kes 4,000.00"
16 th December 2025 to 04 th January 2026,,
Rack Rate,"Kes 29,000.00","Kes 5,000.00"
Net Rate,"Kes 26,000.00","Kes 5,000.00"
"Festive Supplement - Good Friday, Easter Sat, Sun and Mon 24 th , 25 th , 26 th , 31 st Dec 24&01 st Jan 2026","Kes 4,000.00","Kes 4,000.00"
