,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,"KES 14,500","KES 21,500",x,x,KES 6900
DeluxeDouble Room,"KES 15,100","KES 22,200",x,x,KES 6900
Double room extra bed,"KES 22,200","KES 22,200","KES 29,800",x,KES 6900
Standard twin room,"KES 14,500","KES 21,500","KES 29,000",x,KES 6900
BananaPenthouseSuite,"KES 33,600","KES 33,600","KES 41,200",x,KES 6900
Wellness Penthouse Suite,"KES 35,100","KES 35,100","KES 42,800","KES 50,400",KES 6900
Sweet Penthouse,"KES 30,700","KES 30,700",x,x,KES 6900
Family room,"KES 23,700","KES 23,700","KES 31,300","KES38,900",KES 6900
Budget singleroom,"KES 10,600",x,x,x,x
StandardSingle room,"KES 13,800",x,x,x,x
Budget Double,"KES 13,800","KES 20,600",x,x,x
