,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,"KES 16,200","KES 23,800",x,x,KES 8000
DeluxeDouble Room,"KES 16,900","KES 24,700",,,
Double room extra bed,"KES 24,700","KES 24,700","KES 33,200",x,KES 8000
Standard twin room,"KES 16,200","KES 23,800","KES 32,300",x,KES 8000
BananaPenthouseSuite,"KES 37,300","KES 37,300","KES 45,800",x,KES 8000
Wellness Penthouse Suite,"KES 38,900","KES 38,900","KES 47,600","KES 56,000",KES 8000
Sweet Penthouse,"KES 33,900","KES 33,900",x,x,KES 8000
Family room,"KES 26,400","KES 26,400","KES 34,700","KES 43,200",KES 8000
Budget singleroom,"KES 12,000",x,x,,x
StandardSingle room,"KES 15,300",,,,
Budget Double,"KES 15,300","KES 22,900",x,x,x
