Our Jungle Gym,Free of Charge for Inhouse guests only,Free of Charge for Inhouse guests only
Yoga lessons with personal trainer,"4,000 Ksh",Per person
Swim Across the Channel by boat,"2,640 Ksh",Per person
Swimming Lessons 2,,
The Majlis - Lamu,"3,000 Ksh",One - Way
The Majlis - Shela,"1,500 Ksh",One - Way
The Majlis - Floa � ng Bar,"2,200 Ksh",One - Way
The Majlis - Mokowe,"8,000 Ksh",One - Way
The Majlis - Manda Bay,"15,000 Ksh",One - Way
The Majlis - Lamu Port,"19,800 Ksh",One - Way
The Majlis - Kipungani,"16,500 Ksh",One - Way
The Majlis - Kiwayu,"39,600 Ksh",One - Way
The Majlis - Airport,"2,650 Ksh",One - Way
