0,1,2,3
24/7 Reception,Restaurant & Grill,Resort & Retreat,Tennis Court
Infinity Pool,Airport Transfer,Shuttle,Gym
Shopping Arcade,Fitness Studio,Private Beach,Security 24hrs
Taxi Service,"Beach facilities (sunbeds,",Complimentary,Back-Up Generator
Air Condition,"pool, towel)",Bicycles,
Beach Bar,Complimentary Wi-Fi,Gazebo,
The Billionaire Retreat,,,
24/7 Reception,Air Condition,Beach Access at,TV room
Taxi Service,Pool Bar Area,Billionaire Resort,Security 24hrs
Guest Relations,Airport Transfer,Spa,Back-Up Generator
Services,4 Pools,Restaurant,
Complimentary Wi-Fi,Fitness Studio,Complimentary Bicycles,
