Sundowners,35,25
Manyatta visit & local school (payable direct),20,10
Bush breakfast/lunch/dinner (not available in the HIGH & PEAK season),40,30
Extra picnic lunch at camp (if extra to full board),25,25
Casual meals at camp (if extra to full board),30,20
"Shared game drives in 4x4 vehicle, half day (approx. 3 hours) . Min. 2 pax - Max. 7 pax",50,50
Shared game drive in 4x4 vehicle full day (approx. 6 hrs). Min. 2 pax-Max. 7 pax,100,100
Night game drives in 4x4 vehicle-Min. 2 pax - Max. 7 pax,80,80
Airstrip transfers,$80 per vehicle per trip,$80 per vehicle per trip
Alcohol Supplement,$40 per person per day,$40 per person per day
