R O O M TY P E.,N O N R E S ID E N T S.C O N T R A C T,N O N R E S ID E N T S.R A C K,R E S ID E N T.C O N T R A C T,R E S ID E N T.R A C K
,$ 12 0,$ 14 5,"K sh.9 , 9 0 0","K sh. 12 , 10 0"
,$ 2 2 0,$ 2 5 0,"K sh.17,6 0 0","K sh.22,0 0 0"
,$ 275,$ 3 2 0,"K sh.19,8 0 0","K sh.23, 10 0"
,$ 3 2 0,$ 3 75,"K sh.22,0 0 0","K sh.25,3 0 0"
,$ 3 5 0,$ 4 10,"K sh.26,4 0 0","K sh.3 0 , 8 0 0"
,$ 3 4 0,$ 4 0 0,"K sh.22,0 0 0","K sh.25,3 0 0"
,$ 5 4 0,$ 6 2 0,"K sh.3 3 , 0 0 0","K sh.3 8 ,5 0 0"
,$ 275,$ 275,"K sh.3 5 ,2 0 0","K sh.3 5 ,2 0 0"
,$ 3 4 0,$ 4 0 0,"K sh.28,6 0 0","K sh.3 3 , 0 0 0"
,$ 5 4 0,$ 6 2 0,"K sh.5 7,2 0 0","K sh.6 6 , 0 0 0"
,$ 275,$ 3 2 0,"K sh.24 ,2 0 0","K sh.28,6 0 0"
,$ 3 3 0,$ 3 8 5,"K sh.3 9 , 6 0 0","K sh.4 5 , 6 5 0"
,$ 5 0,$ 5 0,"K sh.5,0 0 0","K sh.5,0 0 0"
,$ 3 0,$ 3 0,"K sh.2,5 0 0","K sh.2,5 0 0"
