R O O M TY P E.,N O N R E S ID E N T S.C O N T R A C T,N O N R E S ID E N T S.R A C K,R E S ID E N T.C O N T R A C T,R E S ID E N T.R A C K
,$ 2 0 0,$ 2 3 0,"K sh. 16 ,5 0 0","K sh. 19 ,2 5 0"
,$ 3 6 0,$ 4 2 0,"K sh.24 ,2 0 0","K sh.28,6 0 0"
,$ 4 0 0,$ 4 6 0,"K sh.29,70 0","K sh.3 4 , 10 0"
,$ 4 4 0,$ 5 10,"K sh.3 1, 9 0 0","K sh.3 6 , 8 5 0"
,$ 5 5 0,$ 6 3 5,"K sh.4 6 ,2 0 0","K sh.5 3 ,24 0"
,$ 4 9 0,$ 5 6 0,"K sh.3 9 , 0 5 0","K sh.4 5 , 10 0"
,$ 8 8 0,"$ 1, 0 15","K sh.6 6 ,5 5 0","K sh.77,0 0 0"
,$ 4 4 0,$ 5 10,"K sh.3 0 , 8 0 0","K sh.3 5 ,75 0"
,$ 5 0,$ 5 0,"K sh.5,0 0 0","K sh.5,0 0 0"
,$ 3 0,$ 3 0,"K sh.2,5 0 0","K sh.2,5 0 0"
