"*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).","*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).","*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).",Introductory Rate.Wilderness Rooms,Introductory Rate.River Rooms,Value Season 6 Jan - 31 Mar / 11 Oct - 20 Dec 2025.Wilderness Rooms,Value Season 6 Jan - 31 Mar / 11 Oct - 20 Dec 2025.River Rooms,Peak Season 15 Jun - 10 Oct / 21 Dec - 5 Jan 2026.Wilderness Rooms,Peak Season 15 Jun - 10 Oct / 21 Dec - 5 Jan 2026.River Rooms
Full Board,Twin/Double Single/Standard,2 Guests,400,500,700,800,1000,1100
Full Board,,1 Guest,300,370,500,570,700,770
Full Board,Double/Suite*,2 Guests,,600,,1000,,1300
Full Board,Single/Suite*,1 Guest,,450,,700,,1000
Full Board,Triple/Suite*,3 Guests*,,700,,1200,,1600
,Quadruple/Suite* Twin/Double,4 Guests* 2 Guests,600,800 700,900,1400 1000,1300,1950 1400
,Single/Standard,,,470,,670,,920
,,1 Guest,400,,600,,850,
,Double/Suite*,2 Guests,,800,,1200,,1600
,Single/Suite*,1 Guest,,500,,800,,1150
,Triple/Suite*,3 Guests*,,1000,,1500,,2050
,Quadruple/Suite*,4 Guests*,,1200,,1600,,2550
