"*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).","*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).","*Above quoted rates are in USD, per night, inclusive of 16% VAT, 10% Service Charge and 2% Training Levy. They do NOT include park fees and community levy that are mandatory. (Government Taxes might change without prior notice.).",Introductory Rate.Wilderness Rooms,Introductory Rate.River Rooms,Value Season 6 Jan - 31 Mar / 11 Oct - 20 Dec 2025.Wilderness Rooms,Value Season 6 Jan - 31 Mar / 11 Oct - 20 Dec 2025.River Rooms,Peak Season 15 Jun - 10 Oct / 21 Dec - 5 Jan 2026.Wilderness Rooms,Peak Season 15 Jun - 10 Oct / 21 Dec - 5 Jan 2026.River Rooms
Full Board,Twin/Double Single/Standard,2 Guests 1 Guest,300 225,400 300,525 375,625 450,750 525,850 600
Full Board,Double/Suite*,2 Guests,,450,,775,,
Full Board,,,,,,,,900
Full Board,Single/Suite*,1 Guest,,300,,550,,750
Full Board,Triple/Suite*,3 Guests*,,525,,900,,1200
,Quadruple/Suite* Twin/Double,4 Guests* 2 Guests,450,600 550,675,1050 775,975,1460 1100
,Single/Standard,,,375,,530,,700
,,1 Guest,300,,450,,630,
,Double/Suite*,2 Guests,,700,,975,,1300
,Single/Suite*,1 Guest,,500,,650,,900
,Triple/Suite*,3 Guests*,,750,,1125,,1536
