ITEM DESCRIPTION,OUR RATES,OUR RATES,AGENT RATES,AGENT RATES
Full Day Conference,KES,"4,000",KES,"3,800"
Half Day Conference,KES,"3,800",KES,"3,500"
Day Team Building,KES,"4,000",KES,"3,800"
Conference + Half Board (Single Occupancy),KES,"12,000",KES,"9,500"
Conference + Half Board (Double Occupancy),KES,"15,000",KES,"12,000"
Projector Hire,KES,"6,000",,
Mineral water 500ml,KES,150,,
Major Hall hire (if not part of conference package),KES,"70,000",,
Minor Hall hire (if not part of conference package),KES,"60,000",,
Smaller Hall hire (if not part of conference package),KES,"30,000",,
Board Room hire (if not part of conference package),KES,"16,000",,
