RESIDENT,BB,HB,FB
Superior Room (single),"8,000","9,500","11,000"
Superior Room (double),"11,500","13,500","15,500"
Superior Room (triple),"14,000","16,000","18,000"
Executive Room (single),"10,000","11,500","13,000"
Executive Room (double),"13,500","15,500","17,500"
One-bedroom Suites (Single),"11,500","13,000","14,500"
One-Bedroom Suites (double),"17,000","19,000","21,000"
CHILDREN'S POLICY,,,
Children under 5 years,Complimentary,,
Children 5 -12years sharing with an adult,25%of single rate,,
Children below 12 years with exclusive use of the room,75%Adult single rate,,
Children above 12 years,Pay the adult rate,,
Extra bed,"2,000",,
CONTACTUS,,,
Tel,0741 000333 0741 000111,,
Email,resort@eserianihotels.co.ke,,
Web,www.eserianihotels.co.ke,,
