Lodge Facilities,Lodge Facilities,In-Room,Facilities
NO. OF ROOMS,8 Standalone Cottages (3 Deluxe and 5 Standard Cottages),EXTRA BEDS,Yes - One or Two extra beds can be provided per cottage
MAXIMUM GUESTS,22 Pax,FANS,Yes - Standing fans
CHILDREN,Yes (All ages allowed),ROOM HEATER,Yes - portable
CHILD MINDING,Yes,MOSQUITO NETS,Yes
FENCED/SECURITY,Fenced - 24hr Askaris,SWIMMING POOL,Yes
CHECK IN,12:00Noon,BATH TUB,Yes
CHECK OUT,10:00am,INDOOR SHOWER,Yes
SWIMMING POOL,Yes,OUTDOOR SHOWER,No
ELECTRICITY,Yes,MINI BAR,Yes - Mini Fridges in all suites
MOBILE PHONE,Yes,IN-ROOM SAFE,Yes -
WIFI,Yes - Strong in the main area,TELEPHONE,"Yes - internal calls only, for external please use the reception phone"
PRIVATE DINNERS,Yes - On request,HAIRDRYER,Yes -
BUSH DINNERS,Yes - On request,,
CREDIT CARDS,Yes - VISA and Master Card,LAUNDRY,Yes - Included
SPA FACILITIES,Yes - massages,DISABLED ACCESS,Yes
