Experiences,No of Pax,Resident Rate (US$),Remarks
Game drives (Morning / Afternoon 4x4 vehicles,Min 4 pax,"Kes. 4,500 per person",Duration 3 hrs.
Night Game drive 4X4 vehicles,Min 4 pax,"Kes. 4,500 per person",Duration 3 hrs.
Game drives &Sundowner 4x4 vehicles,Min 4 pax,"Kes. 7,000 per person",Excluding Drinks
Mula Hill Climb,Min 2 pax,"Kes. 4,000 per person",With a ranger and a guide
Guided Bush walks with a guide and ranger,Min 4 pax,"Kes. 3,500 per person",Duration 2 -3 hours
Boat rides on Lake Naivasha,Min 4 Pax,"Kes. 3,500 per person",Duration 1 hour
Boat rides for in house guest with visit to Crescent Island with one of our guides,Min 4 Pax,"Kes. 8,000 per person",Duration 3 hours Includes Entry fees
Boat rides for external guests with visit to Crescent Island with one of our guides with 3 course lunch at ranch house bistro,Min 4 Pax,"Kes. 12,500 per person",Duration 3 hours Includes Entry fees
Flower Farm visit,Min 4 Pax,"Kes. 4,000 per person",Duration 2 hour
Horse riding safaris within Oserengoni Wildlife Sanctuary,,"Kes. 3,500 per person",Duration 1 hour
Breakfast at Chui Lodge,,"Kes. 3,500 per person",
Lunch at Chui Lodge,,"Kes. 4,000 per person",
Dinner at Chui Lodge,,"Kes. 4,000 per person",
Bush Dinner in Oserengoni Wildlife Sanctuary,Min 4 pax,"Kes. 6,000 per person",
