Bush Breakfast (inclusive of sparkling wine) at Oserengoni Wildlife Sanctuary,Min 4 pax,"Kes. 4,500 per person",
Packed Lunch,,"Kes. 3,000 per person",
Bicycle ride from Chui gate to Hells Gate National Park,Min 4 pax,"Kes. 9,000 per person",includes all entry fees + transport 44 kilometres
The gorge visit or canyon walk at Hells Gate National Park,Min 4 pax,"Kes. 9,000 per person",Includes all entry fees + transport
Rock / Wall climb / cliff hike at Hells Gate National Park,Min 4 pax,"Kes. 9,000 per person",Includes all entry fees + transport
Geothermal spa visit at Hells Gate National Park,Min 4 pax,"Kes. 7,000 per person",Includes all entry fees + transport
Mt. Longonot hike with a nature guide,,"Kes. 9,000 per person",Includes all entry fees + transport
Eburu Forest Walk with a nature guide,Min 4 pax,"Kes. 6,000 per person",Excludes all entry fees
Golfing at Green park with packed lunch,,"Kes. 12,500 per person","Includes 18 hole, clubs hire - 1 set and ceddy"
Vehicle hire to Longonot,,$180 per vehicle,
Vehicle hire to Hell's Gate,,$150 per vehicle,
Vehicle hire to Crescent Island,,$170 per vehicle,
Vehicle hire to Loldia (drive and drop),,$120 per vehicle,
Vehicle hire to Elsamere,,$120 per vehicle,
