LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).ROOM TYPE.ROOM TYPE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).B/B.SINGLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).B/B.DOUBLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).B/B.DOUBLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).B/B.TWIN,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).H/B.SINGLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).H/B.DOUBLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).H/B.TWIN,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).F/B.SINGLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).F/B.DOUBLE,LOWER GROUNDS OF THE HOTEL (Apartment & two-storey rooms).F/B.TWIN
DELUXE,"6,000","10,000","10,000","10,000","7,000","12,000","12,000","8,000","14,000","14,000"
TRIPLE DELUXE,"14,500","14,500","14,500","14,500","17,500","17,500","17,500","20,500","20,500","20,500"
FAMILY SUITE DLX,"20,500","20,500","20,500","20,500","24,600","24,600","24,600","28,600","28,600","28,600"
UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms),UPPER GROUNDS OF THE HOTEL (Stand-alone rooms)
,B/B,B/B,B/B,B/B,H/B,H/B,H/B,F/B,F/B,F/B
ROOM TYPE,SINGLE,SINGLE,DOUBLE TWIN,DOUBLE TWIN,SINGLE,DOUBLE,TWIN,SINGLE,DOUBLE,TWIN
PANORAMIC,"7,500","7,500","12,000 N/A","12,000 N/A","8,500","14,000",N/A,"9,500","16,000",N/A
SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM,SELF CATERING HOUSESWITHCOMMON KITCHEN AND SITTING ROOM
COTTAGE,B/O:,"17,000","17,000","B/B:25,000","B/B:25,000","33,000","33,000","42,600","42,600","42,600"
SAFARI HOUSE 5BR,B/O:,"35,000","35,000","B/B:45,000","B/B:45,000","55,000","55,000","65,000","65,000","65,000"
SAFARI HOUSE 1BR,B/O:,"8,000","8,000","B/B:10,000","B/B:10,000","12,000","12,000","14,000","14,000","14,000"
SAFARI HOUSE 6BR,B/O:,"40,000","40,000","B/B:52,000","B/B:52,000","64,000","64,000","76,000","76,000","76,000"
