2025 XMAS SEASON RATES,2025 XMAS SEASON RATES,2025 XMAS SEASON RATES,2025 XMAS SEASON RATES,2025 XMAS SEASON RATES
"NAIVASHA COUNTRY HOTEL T / A SAWELA LODGES .THE MIRAGE,TOWER 3 ,6TH FLR -CHIROMO-WAIYAKI WAY","NAIVASHA COUNTRY HOTEL T / A SAWELA LODGES .THE MIRAGE,TOWER 3 ,6TH FLR -CHIROMO-WAIYAKI WAY","NAIVASHA COUNTRY HOTEL T / A SAWELA LODGES .THE MIRAGE,TOWER 3 ,6TH FLR -CHIROMO-WAIYAKI WAY","NAIVASHA COUNTRY HOTEL T / A SAWELA LODGES .THE MIRAGE,TOWER 3 ,6TH FLR -CHIROMO-WAIYAKI WAY","NAIVASHA COUNTRY HOTEL T / A SAWELA LODGES .THE MIRAGE,TOWER 3 ,6TH FLR -CHIROMO-WAIYAKI WAY"
FESTIVE SEASON RATES -DECEMBER 2025-(24TH DEC-1ST JAN 2025),FESTIVE SEASON RATES -DECEMBER 2025-(24TH DEC-1ST JAN 2025),FESTIVE SEASON RATES -DECEMBER 2025-(24TH DEC-1ST JAN 2025),FESTIVE SEASON RATES -DECEMBER 2025-(24TH DEC-1ST JAN 2025),FESTIVE SEASON RATES -DECEMBER 2025-(24TH DEC-1ST JAN 2025)
ROOM CATEGORY,SINGLE(KSH),DOUBLE(KSH),TRIPLE(KSH),CHILD-4-12 YRS
SUPERIOR,"26,000.00","36,000.00","46,000.00","9,000.00"
BUSINESS DLX,"28,000.00","42,000.00","48,000.00","10,500.00"
BUSINESS SUITE,"30,000.00","45,000.00","52,000.00","11,250.00"
2 BED ROOM EXECUTIVE SUITE-4 PAX MAX.,"78,000.00","78,000.00","78,000.00","19,500.00"
TRAVEL AGENT COMMISSION-,10%,,,
CHILD RATE,NET,,,
"MINIMUM STAY 3-NIGHTS -24th ,25th &26th December.","MINIMUM STAY 3-NIGHTS -24th ,25th &26th December.","MINIMUM STAY 3-NIGHTS -24th ,25th &26th December.","MINIMUM STAY 3-NIGHTS -24th ,25th &26th December.","MINIMUM STAY 3-NIGHTS -24th ,25th &26th December."
