Hall.,Dimen- sions (ft.).,Remarks.,Height (ft.).,Conference Room Capacities Setup Type and Capacity (maximum pax).Theater style,Conference Room Capacities Setup Type and Capacity (maximum pax).Class- room,Conference Room Capacities Setup Type and Capacity (maximum pax).Fishbone,Conference Room Capacities Setup Type and Capacity (maximum pax).Block Hollow,Conference Room Capacities Setup Type and Capacity (maximum pax).Double: U-Shaped,Conference Room Capacities Setup Type and Capacity (maximum pax).Single: U-Shaped,Conference Room Capacities Setup Type and Capacity (maximum pax).Board Style,Conference Room Capacities Setup Type and Capacity (maximum pax).Triple U-Shaped
GOLDCREST,19 x 31.9,,9,56 pax,30 pax,30 pax,24 pax,-,24 pax,-,-
COMORANT,18.1 x 24.5,,8.1,48 pax,24pax,24 pax,-,24 pax,18 pax,-,-
WOOD PECKER,18.4 x 32.1,,8.9,64 pax,24 pax,-,35pax,-,32 pax,-,-
BAOBAB A,39 x 51.2,,30,175 pax,105 pax,-,-,72 pax,42 pax,-,96
BAOBAB B,39 x 51.2,,30,175 pax,105 pax,-,-,72 pax,42 pax,-,96
BAOBAO A&B,78 x 102.4,,30,450 pax,220 pax,-,-,-,-,-,-
GREAT ACACIA A,39 x 51.2,,30,175 pax,105 pax,-,-,72 pax,42 pax,-,96
GREAT ACACIA B,39 x 51.2,,30,175 pax,105 pax,-,-,72 pax,42 pax,-,96
GREAT ACACIA A&B,78 x 102.4,,30,450 pax,220 pax,-,-,-,-,-,-
NUT CRACKER,25.9 x 38.3,,8.10,72 pax,50 pax,-,-,-,-,-,-
EBURRU,19.3 x 25.6,,8.10,-,-,-,-,-,-,-,-
ABERDARE,18.7 x 32.2,,8.5,-,-,-,-,-,-,-,-
W.KING MOVIE THEATRE,-,,-,40 Pax,-,-,-,-,-,-,-
