AROMATHERAPY MASSAGE,90MIN,5000
DEEPTISSUE MASSAGE,90MIN,4000
SWEDISH MASSAGE,60MIN,3500
"BACK,NECK &SHOULDER MASSAGE",45MIN,2500
HOT STONE MASSAGE,90MIN,5000
ABERDARE SIGNATURE,90MIN,5500
REFLEXOLOGY,60MIN,4000
SAUNA IN-HOUSE GUEST,,500
STEAM IN-HOUSE GUEST,,500
SAUNA AND STEAM WALK IN GUEST,,2000
GYM DAILY,,500
SKIN POLISHES,,
SEA SALT EXFOLIATION,40MIN,3000
COFFEE EXFOLIATION,40MIN,3000
ABERDAREAROMABODYWRAP,40MIN,7000
FACIALS,,
FACE EXFOLIATION,40MIN,500
DEEP CLEANSE,40MIN,1500
BOOSTER ANTI-AGINGTREATMENT,40MIN,5000
INTENSE HYDRATION FACIAL,40MIN,4000
MAKE UP,,
DAY MAKE UP,,1000
OCCASSIONAL MAKE UP,,2000
TWEEZING,,500
EYEBROWWAXING,,500
