EQUIPMENTS,CHARGES PER ITEM PER DAY IN Ksh.
 Boots ,ksh.800
 Warm socks,ksh.300
 Warm trouser,Ksh.600
 Warm shirts,ksh. 400
 Rain jacket,ksh.600
 Wool hat,ksh.500
 Gloves,ksh.500
 Sun glasses,ksh.500
 Flash light,ksh.500
 Sleeping bag,ksh.600
 Sleeping mats,ksh.400
 Down jackets,ksh.600
 Day pack,ksh.500
 Rucksack,ksh.800
 Water bottle,ksh.300
 Climbing ropes,"ksh.1,500"
 Helmet,ksh.700
 Ice axe,ksh.700
 Crampons,ksh.700
 Climbing harness,ksh.700
 Walking sticks,ksh.500
 Camping stoves,ksh.700
 Tent,ksh.1000
