TRAVEL.AGENT USD.,HIGH.02-Jan-25 28-Feb-25 01-Jul-25 08-Sep-25.HB,HIGH.02-Jan-25 28-Feb-25 01-Jul-25 08-Sep-25.01-Dec-25,HIGH.02-Jan-25 28-Feb-25 01-Jul-25 08-Sep-25.23-Dec-25 FB,BB,01-Mar-25 09-Sep-25 HB,30-Jun-25.30-Nov-25 FB,PEAK.24-Dec-25 01-Jan-25.BB,PEAK.24-Dec-25 01-Jan-25.HB,PEAK.24-Dec-25 01-Jan-25.
Single Room Superior,121,140,158,105,124,142,137,156,174
Single Room Deluxe,135,154,172,119,138,156,151,170,188
Twin Room Superior,117,154,191,101,138,175,133,170,207
Twin Room Deluxe,154,191,228,138,175,212,170,207,244
Third Bed,53,72,89,46,65,82,60,78,96
Children Sharing Parents Room,,,,,,,,,
Over 2 years& under 6 years,0,0,0,0,0,0,0,0,0
Over 6 years& under 12 years,26,36,45,23,32,41,30,39,48
Over 12 years& under 18 years,36,54,72,32,51,69,39,57,76
SELF SERVE COTTAGES,,,,,,,,,
Batian (1 Twin),,89,,,72,,,107,
Lenana (1 Twin),,89,,,72,,,107,
Nelion (2 Twin),,179,,,143,,,215,
Rutundu (2 Triples),,283,,,227,,,340,
Ithanguni (2 Triples),,283,,,227,,,340,
Tereri (3 Twin),,283,,,227,,,340,
"Sendeyo (2 Twin, 1 Triple)",,320,,,256,,,385,
Extra Child,,17,,,14,,,20,
Extra Person,,35,,,28,,,41,
MEAL PLAN,B,H,F,B,H,F,B,H,F
Adult,18,37,56,15,30,45,23,45,68
Child 2-5,10,19,28,8,16,23,12,23,34
Child 6-12,12,23,34,10,19,28,15,28,41
Bunkbeds,,34,,,28,,,28,
Camping,,17,,,14,,,14,
Fishing rod without permit,,8,,,7,,,7,
Firewood,,9,,,8,,,8,
Met Station Cabins,,25,,,20,,,20,
Mackinders Bunkbeds,,34,,,28,,,28,
