TRAVEL.AGENT KES.,HIGH.02-Jan-25 01-Jul-25 01-Dec-25.BB,HIGH.02-Jan-25 01-Jul-25 01-Dec-25.HB,HIGH.02-Jan-25 01-Jul-25 01-Dec-25.FB,MID.28-Feb-25 08-Sep-25 23-Dec-25.BB,MID.01-Mar-25 30-Jun-25 09-Sep-25 30-Nov-25.HB,MID.01-Mar-25 30-Jun-25 09-Sep-25 30-Nov-25.FB,PEAK.24-Dec-25 01-Jan-25.BB,PEAK.24-Dec-25 01-Jan-25.HB,PEAK.24-Dec-25 01-Jan-25.FB
Single Room Superior,"10,980","12,690","14,310","9,540","11,250","12,870","12,420","14,130","15,750"
Single Room Deluxe,"12,240","13,950","15,570","10,800","12,510","14,130","13,680","15,390","17,010"
Twin Room Superior,12690,16020,19350,"11,250","14,580","17,910","14,130","17,460","20,790"
Twin Room Deluxe,"13,950","17,280","20,610","12,510","15,840","19,170","15,390","18,720","22,050"
Third Bed,"4,770","6,480","8,100","4,140","5,850","7,470","5,400","7,020","8,730"
Children Sharing Parents Room,,,,,,,,,
Over 2 years & under 6 years,0,0,0,0,0,0,0,0,0
Over 6 years & under 12 years,"2,385","3,240","4,050","2,070","2,925","3,735","2,700","3,510","4,365"
Over 12 years & under 18 years,"3,218","4,905","6,548","2,903","4,590","6,233","3,533","5,175","6,863"
SELF SERVE COTTAGES,,,,,,,,,
Batian (1 Twin),,"8,100",,,"6,480",,,"9,720",
Lenana (1 Twin),,"8,100",,,"6,480",,,"9,720",
Nelion (2 Twin),,"16,200",,,"12,960",,,"19,440",
Rutundu (2 Triples),,"25,650",,,"20,520",,,"30,780",
Ithanguni (2 Triples),,"25,650",,,"20,520",,,"30,780",
Tereri (3 Twin),,"25,650",,,"20,520",,,"30,780",
"Sendeyo (2 Twin, 1 Triple)",,"28,980",,,"23,220",,,"34,830",
Extra Child,,"1,575",,,"1,260",,,"1,845",
Extra Person,,"3,150",,,"2,520",,,"3,690",
MEAL PLAN,B,H,F,B,H,F,B,H,F
Adult,"1,665","3,330","5,040","1,350","2,700","4,050","2,070","4,050","6,120"
Child 2-5,900,"1,710","2,520",720,"1,440","2,070","1,080","2,070","3,060"
Child 6-12,"1,080","2,070","3,060",900,"1,710","2,520","1,350","2,520","3,690"
Bunkbeds,,3060,,,2520,,,2520,
Camping,,1530,,,1260,,,1260,
Fishing rod without permit,,700,,,600,,,600,
Firewood,,800,,,700,,,700,
Met Station Cabins,,2250,,,1800,,,1800,
Mackinders Bunkbeds,,3060,,,2520,,,2520,
