Standard room,Single,Double,Single,Double
Bed &Breakfast,9500,12500,100,120
Half Board,11500,16500,115,150
Full Board,13500,20500,130,180
Deluxe,Single,Double,Single,Double
Bed &Breakfast,12500,15500,120,150
Half Board,14500,19500,135,180
Full Board,16500,23500,150,195
Deluxe Twin,Single,Double,Single,Double
Bed &Breakfast,14500,17000,140,160
Half Board,16500,21000,155,190
Full Board,18500,25000,170,220
Executive Deluxe Suite,Single,Double,Single,Double
Bed &Breakfast,15500,17500,140,160
Half Board,17500,21500,155,190
Full Board,19500,25500,170,220
One Bedroom Suite BB,,18000,,170
One Bedroom Suite One Bedroom Extra Suite BB,,20000,,190
One Bedroom Extra Suite Two Bedroom Extra Suite BB,,30000,,290
Two Bedroom Suite BB,,40000,,390
