,RESIDENTS RATES,RESIDENTS RATES,NON-RESIDENTS RATES,NON-RESIDENTS RATES
Standard room,S Single,Double,Single,Double
Bed &Breakfast,8550,11250 0,90 0,100 0
Half Board,0 10350,14850 0,100 0,135 0
Full Board,0 12150,18450,115,160
Deluxe,,,,
Bed &Breakfast,0 11250,13950,110,135
Half Board,0 13050,17550,120,160
Full Board,0 14850,21150,135,175
Deluxe Twin,0,0 0,0 0,0 0
Bed &Breakfast,0 13050,15300 0,125 0,140 0
Half Board,0 14850,18900 0,140 0,170 0
Full Board,0 16650,22500 0,150 0,200 0
Executive Deluxe Suite,,,,
Bed &Breakfast,13950,15750 0,125 0,140 0
Half Board,0 15750,19350 0,140 0,170 0
Full Board,0 17550,22950 0,150,200 0
One Bedroom Suite BB,0,16200 0,,150 0
One Bedroom Suite One Bedroom Extra Suite BB,,18000 0,,170 0
One Bedroom Extra Suite Two Bedroom Extra Suite BB,,27000 0,,260 0
Two Bedroom Suite BB,,36000,,350
