UNIT.,ROOM TYPE.,PERIOD.,SINGLE.FULL BOARD RATE (US$),DOUBLE.FULL BOARD RATE (US$),THIRD BED.FULL BOARD RATE (US$),MEAL PLAN.FULL BOARD RATE (US$)
SALT LICK SAFARI LODGE,PARK VIEW ROOMS,High Season: 02.01.2025-31.03.2025 01.07.2025- 01.01.2026,190,250,75,FB
SALT LICK SAFARI LODGE,PARK VIEW ROOMS,Green Season: 01.04.2025-30.06.2025 Easter Supplement applicable on dates mentioned below,100,200,60,FB
SALT LICK SAFARI LODGE,PARK VIEW ROOMS,Christmas/New Year Supplement: 23 rd Dec- to 1st Jan (Inclusive),$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night
SALT LICK SAFARI LODGE,PARK VIEW ROOMS,Easter Supplement: 18 th - 21 st April 2025 (Inclusive),$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night
SALT LICK SAFARI LODGE,WATERHOLE VIEW ROOMS,High Season: 02.01.2025-31.03.2025 01.07.2025- 01.01.2026,200,265,N/A,FB
SALT LICK SAFARI LODGE,WATERHOLE VIEW ROOMS,Green Season: 01.04.2025-30.06.2025 Easter Supplement applicable on dates mentioned below,110,220,N/A,FB
SALT LICK SAFARI LODGE,WATERHOLE VIEW ROOMS,Christmas/New Year Supplement: 23 rd Dec- to 1st Jan (Inclusive),$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night
SALT LICK SAFARI LODGE,WATERHOLE VIEW ROOMS,Easter Supplement: 18 th - 21 st April 2025 (Inclusive),$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night
TAITA HILLS SAFARI RESORT & SPA,RESORT ROOMS,High Season: 02.01.2025-31.03.2025 01.07.2025- 01.01.2026,145,190,57,FB
TAITA HILLS SAFARI RESORT & SPA,RESORT ROOMS,Green Season: 01.04.2025-30.06.2025 Easter Supplement applicable on dates mentioned below,75,150,45,FB
TAITA HILLS SAFARI RESORT & SPA,RESORT ROOMS,Christmas/New Year Supplement: 23 rd Dec- to 1st Jan (Inclusive),$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night,$40 per adult per night $25 per child (5 yrs to 11.99 yrs) per night
TAITA HILLS SAFARI RESORT & SPA,RESORT ROOMS,Easter Supplement: 18 th - 21 st April 2025 (Inclusive),$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night,$30 per adult per night $20 per child (5 yrs to 11.99 yrs) per night
