IN,OUT,SGL,DBL,PP,3rd - 4th bed ADT,3rd - 4th bed CHD *,Minimum Stay - days
12/07/24,04/08/24,"15,295","21,850","10,925","8,194","5,463",1
05/08/24,08/09/24,"21,126","30,180","15,090","11,318","7,545",2
09/09/24,10/10/24,"15,295","21,850","10,925","8,194","5,463",1
11/10/24,03/11/24,"21,126","30,180","15,090","11,318","7,545",2
04/11/24,08/12/24,"15,295","21,850","10,925","8,194","5,463",1
09/12/24,22/12/24,"18,592","26,560","13,280","9,960","6,640",2
23/12/24,12/01/25,"32,120","45,885","22,943","17,207","11,471",4
13/01/25,09/02/25,"18,592","26,560","13,280","9,960","6,640",2
10/02/25,02/03/25,"21,126","30,180","15,090","11,318","7,545",2
03/03/25,10/04/25,"18,592","26,560","13,280","9,960","6,640",1
11/04/25,27/04/25,"21,126","30,180","15,090","11,318","7,545",2
