IN,OUT,SGL,DBL,,PP,3rd - 4th bed ADT,3rd - 4th bed CHD *,Minimum Stay - days
12/07/24,04/08/24,,139,199,99,74,50,1
05/08/24,08/09/24,,192,274,137,103,69,2
09/09/24,10/10/24,,139,199,99,74,50,1
11/10/24,03/11/24,,192,274,137,103,69,2
04/11/24,08/12/24,,139,199,99,74,50,1
09/12/24,22/12/24,,169,241,121,91,60,2
23/12/24,12/01/25,,292,417,209,156,104,4
13/01/25,09/02/25,,169,241,121,91,60,2
10/02/25,02/03/25,,192,274,137,103,69,2
03/03/25,10/04/25,,169,241,121,91,60,1
11/04/25,27/04/25,,192,274,137,103,69,2
