DIVING COURSES,DIVING COURSES,EUR,DIVING COURSES
"Try Scuba Dive & Experience dive into the sea, 1 dive from boat, instructor included (no diving certification required)","Try Scuba Dive & Experience dive into the sea, 1 dive from boat, instructor included (no diving certification required)","89,00","Try Scuba Dive & Experience dive into the sea, 1 dive from boat, instructor included (no diving certification required)"
"Try Scuba Dive & Experience dive into the sea, 2 dives from boat, instructor included (no diving certification required)","Try Scuba Dive & Experience dive into the sea, 2 dives from boat, instructor included (no diving certification required)","159,00","Try Scuba Dive & Experience dive into the sea, 2 dives from boat, instructor included (no diving certification required)"
+ KWS National,+ KWS National,"17,00 USD",+ KWS National
BEGINNER COURSES (min. age 10 years),BEGINNER COURSES (min. age 10 years),EUR,BEGINNER COURSES (min. age 10 years)
* *,"SSI Scuba Diver course, 4 dives pool/sea & 3 theory lessions, duration 2 days","299,00 269,00","SSI Scuba Diver course, 4 dives pool/sea & 3 theory lessions, duration 2 days"
*,"SSI/PADI Open Water Diver referral (4 dives at 2 days, only with referral form) SSI Open Water Kurs, 8 dives pool/sea, 6 theory lessions, duration 4 days","SSI/PADI Open Water Diver referral (4 dives at 2 days, only with referral form) SSI Open Water Kurs, 8 dives pool/sea, 6 theory lessions, duration 4 days","SSI/PADI Open Water Diver referral (4 dives at 2 days, only with referral form) SSI Open Water Kurs, 8 dives pool/sea, 6 theory lessions, duration 4 days"
*,your personal logbook is included in all above beginner courses!,your personal logbook is included in all above beginner courses!,your personal logbook is included in all above beginner courses!
+,SSI digital Certification / D-Card (incl. online study material for 3 month validity) alternative: SSI digital certification/D-Card + Diamond study material,"59,00",SSI digital Certification / D-Card (incl. online study material for 3 month validity) alternative: SSI digital certification/D-Card + Diamond study material
+,,"85,00",
+,C-Card printed,"10,00",C-Card printed
There will be no rental equipment charge for regular dives after completing a beginner course !,There will be no rental equipment charge for regular dives after completing a beginner course !,There will be no rental equipment charge for regular dives after completing a beginner course !,There will be no rental equipment charge for regular dives after completing a beginner course !
CONTINIOUS EDUCATION,CONTINIOUS EDUCATION,CONTINIOUS EDUCATION,CONTINIOUS EDUCATION
*,*,*,*
* * *,"SSI Advanced Adventurer course (2 days = 5 dives in different specialty fields) SSI Stress & Rescue Diver course (3 days, incl. theory and all necassary dives/scenarios) SSI Nitrox course EAN 40%, duration approx. 2 hours, theory only after passing our Nitrox course you will receive your ""Nitrox for free"" up to 10 days etc)","99,00 99,00 129,00","SSI Advanced Adventurer course (2 days = 5 dives in different specialty fields) SSI Stress & Rescue Diver course (3 days, incl. theory and all necassary dives/scenarios) SSI Nitrox course EAN 40%, duration approx. 2 hours, theory only after passing our Nitrox course you will receive your ""Nitrox for free"" up to 10 days etc)"
*,"SSI Specialty course excl.dives, choose btw: Navigation, Drift, Night & ltd.visibility, perf. buoyancy, SSI Specialty deep diving excl. dives after 2 SSI Specialty courses you receive the ""SSI Specialty Diver"" for free","59,00","SSI Specialty course excl.dives, choose btw: Navigation, Drift, Night & ltd.visibility, perf. buoyancy, SSI Specialty deep diving excl. dives after 2 SSI Specialty courses you receive the ""SSI Specialty Diver"" for free"
* +,"after 5 SSI Spec. courses + Stress & Rescue you receive the ""SSI Master Diver"" for free SSI digital certification / Specialty D-Card (incl. online SSI Diamond study material) PADI courses are available on request.","after 5 SSI Spec. courses + Stress & Rescue you receive the ""SSI Master Diver"" for free SSI digital certification / Specialty D-Card (incl. online SSI Diamond study material) PADI courses are available on request.","after 5 SSI Spec. courses + Stress & Rescue you receive the ""SSI Master Diver"" for free SSI digital certification / Specialty D-Card (incl. online SSI Diamond study material) PADI courses are available on request."
+ KWS National park entrance fee per day SSI PROFESSIONAL EDUCATION,+ KWS National park entrance fee per day SSI PROFESSIONAL EDUCATION,"17,00 USD",+ KWS National park entrance fee per day SSI PROFESSIONAL EDUCATION
* SSI Science,,on request,
*,,on request on request,
* *,"SSI Dive Guide (using practical application and background information, guiding of certified divers) SSI Dive Control Specialist (teaching Scuba Skills Update, Try Scuba or assist inOWD courses)","SSI Dive Guide (using practical application and background information, guiding of certified divers) SSI Dive Control Specialist (teaching Scuba Skills Update, Try Scuba or assist inOWD courses)","SSI Dive Guide (using practical application and background information, guiding of certified divers) SSI Dive Control Specialist (teaching Scuba Skills Update, Try Scuba or assist inOWD courses)"
*,SSI Training Specialist (be part of the professional education by teaching specialty courses) ITC / Instructor courses on request,SSI Training Specialist (be part of the professional education by teaching specialty courses) ITC / Instructor courses on request,SSI Training Specialist (be part of the professional education by teaching specialty courses) ITC / Instructor courses on request
,"SSI training materials are not included, prices varies on kind of courses","SSI training materials are not included, prices varies on kind of courses","SSI training materials are not included, prices varies on kind of courses"
,,on request,
+ SSI,,,
