FAMILY WITH OCEAN VIEW..,FAMILY WITH OCEAN VIEW.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.BEB,FAMILY WITH OCEAN VIEW.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.HALF,FAMILY WITH OCEAN VIEW.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.FULL,FAMILY WITH OCEAN VIEW.FROM 1 AUGUST TO 31 AUGUST.BEB,FAMILY WITH OCEAN VIEW.FROM 1 AUGUST TO 31 AUGUST.HALF,FAMILY WITH OCEAN VIEW.FROM 1 AUGUST TO 31 AUGUST.FULL,FAMILY WITH OCEAN VIEW.FROM 23 DECEMBER TO 6 JANUARY.BEB,USD.FROM 23 DECEMBER TO 6 JANUARY.HALF,USD.FROM 23 DECEMBER TO 6 JANUARY.FULL,USD.FROM 7 JANUARY TO 31 MARCH.BEB,USD.FROM 7 JANUARY TO 31 MARCH.HALF,USD.FROM 7 JANUARY TO 31 MARCH.FULL
1 ADULT,275,310,350,305,345,385,605,650,695,290,330,370
2 ADULT,290,365,445,325,400,480,625,710,800,305,385,460
3 ADULT,345,460,580,380,495,610,680,810,945,360,480,595
1 ADULT + 1 KID,290,350,410,325,385,445,625,695,765,305,365,430
2 ADULT + 1 KID,315,415,515,350,450,550,650,765,885,335,435,535
2 ADULT + 2 KIDS,345,465,590,380,500,625,680,820,965,360,485,605
1 ADULT + 2 KIDS,315,400,485,350,435,515,650,750,850,335,415,500
1 ADULT + 3 KIDS,345,450,555,380,485,590,680,805,935,360,465,575
4 ADULT,400,555,710,435,590,745,735,910,1090,415,575,730
4 ADULT + 1 KID,430,605,785,460,640,815,760,965,1170,445,625,800
3 ADULT + 1 KID,375,510,650,405,545,685,705,865,1030,390,530,665
3 ADULT + 2 KIDS,400,560,725,435,595,755,735,920,1110,415,580,740
2 ADULT + 3 KIDS,375,515,660,405,550,695,705,880,1050,390,535,680
